Accession	Country	Region	PMID
KY620422	GBR		28394351
KY620423	GBR		28394351
KY620424	GBR		28394351
KY620425	GBR		28394351
KY620426	GBR		28394351
KY620427	GBR		28394351
KY620428	GBR		28394351
KY620429	GBR		28394351
KY620430	GBR		28394351
KY620431	GBR		28394351
KY620432	GBR		28394351
KY620433	GBR		28394351
KY620434	GBR		28394351
KY620435	GBR		28394351
KY620436	GBR		28394351
KY620437	GBR		28394351
KY620438	GBR		28394351
KY620439	GBR		28394351
KY620440	GBR		28394351
KY620441	GBR		28394351
KY620442	GBR		28394351
KY620443	GBR		28394351
KY620444	GBR		28394351
KY620445	GBR		28394351
KY620446	GBR		28394351
KY620447	GBR		28394351
KY620448	GBR		28394351
KY620449	GBR		28394351
KY620450	GBR		28394351
KY620451	GBR		28394351
KY620452	GBR		28394351
KY620453	GBR		28394351
KY620454	GBR		28394351
KY620455	GBR		28394351
KY620456	GBR		28394351
KY620457	GBR		28394351
KY620458	GBR		28394351
KY620459	GBR		28394351
KY620460	GBR		28394351
KY620461	GBR		28394351
KY620462	GBR		28394351
KY620463	GBR		28394351
KY620464	GBR		28394351
KY620465	GBR		28394351
KY620466	GBR		28394351
KY620467	GBR		28394351
KY620468	GBR		28394351
KY620469	GBR		28394351
KY620470	GBR		28394351
KY620471	GBR		28394351
KY620472	GBR		28394351
KY620473	GBR		28394351
KY620474	GBR		28394351
KY620475	GBR		28394351
KY620476	GBR		28394351
KY620477	GBR		28394351
KY620478	GBR		28394351
KY620479	GBR		28394351
KY620480	GBR		28394351
KY620481	GBR		28394351
KY620482	GBR		28394351
KY620483	GBR		28394351
KY620484	GBR		28394351
KY620485	GBR		28394351
KY620486	GBR		28394351
KY620487	GBR		28394351
KY620488	GBR		28394351
KY620489	GBR		28394351
KY620490	GBR		28394351
KY620491	GBR		28394351
KY620492	GBR		28394351
KY620493	GBR		28394351
KY620494	GBR		28394351
KY620495	GBR		28394351
KY620496	GBR		28394351
KY620497	GBR		28394351
KY620498	GBR		28394351
KY620499	GBR		28394351
KY620500	GBR		28394351
KY620501	GBR		28394351
KY620502	GBR		28394351
KY620503	GBR		28394351
KY620504	GBR		28394351
KY620505	GBR		28394351
KY620506	GBR		28394351
KY620507	GBR		28394351
KY620508	GBR		28394351
KY620509	GBR		28394351
KY620510	GBR		28394351
KY620511	GBR		28394351
KY620512	GBR		28394351
KY620513	GBR		28394351
KY620514	GBR		28394351
KY620515	GBR		28394351
KY620516	GBR		28394351
KY620517	GBR		28394351
KY620518	GBR		28394351
KY620519	GBR		28394351
KY620520	GBR		28394351
KY620521	GBR		28394351
KY620522	GBR		28394351
KY620523	GBR		28394351
KY620524	GBR		28394351
KY620525	GBR		28394351
KY620526	GBR		28394351
KY620527	GBR		28394351
KY620528	GBR		28394351
KY620529	GBR		28394351
KY620530	GBR		28394351
KY620531	GBR		28394351
KY620532	GBR		28394351
KY620533	GBR		28394351
KY620534	GBR		28394351
KY620535	GBR		28394351
KY620536	GBR		28394351
KY620537	GBR		28394351
KY620538	GBR		28394351
KY620539	GBR		28394351
KY620540	GBR		28394351
KY620541	GBR		28394351
KY620542	GBR		28394351
KY620543	GBR		28394351
KY620544	GBR		28394351
KY620545	GBR		28394351
KY620546	GBR		28394351
KY620547	GBR		28394351
KY620548	GBR		28394351
KY620549	GBR		28394351
KY620550	GBR		28394351
KY620551	GBR		28394351
KY620552	GBR		28394351
KY620553	GBR		28394351
KY620554	GBR		28394351
KY620555	GBR		28394351
KY620556	GBR		28394351
KY620557	GBR		28394351
KY620558	GBR		28394351
KY620559	GBR		28394351
KY620560	GBR		28394351
KY620561	GBR		28394351
KY620562	GBR		28394351
KY620563	GBR		28394351
KY620564	GBR		28394351
KY620565	GBR		28394351
KY620566	GBR		28394351
KY620567	GBR		28394351
KY620568	GBR		28394351
KY620569	GBR		28394351
KY620570	GBR		28394351
KY620571	GBR		28394351
KY620572	GBR		28394351
KY620573	GBR		28394351
KY620574	GBR		28394351
KY620575	GBR		28394351
KY620576	GBR		28394351
KY620577	GBR		28394351
KY620578	GBR		28394351
KY620579	GBR		28394351
KY620580	GBR		28394351
KY620581	GBR		28394351
KY620582	GBR		28394351
KY620583	GBR		28394351
KY620584	GBR		28394351
KY620585	GBR		28394351
KY620586	GBR		28394351
KY620587	GBR		28394351
KY620588	GBR		28394351
KY620589	GBR		28394351
KY620590	GBR		28394351
KY620591	GBR		28394351
KY620592	GBR		28394351
KY620593	GBR		28394351
KY620594	GBR		28394351
KY620595	GBR		28394351
KY620596	GBR		28394351
KY620597	GBR		28394351
KY620598	GBR		28394351
KY620599	GBR		28394351
KY620600	GBR		28394351
KY620601	GBR		28394351
KY620602	GBR		28394351
KY620603	GBR		28394351
KY620604	GBR		28394351
KY620605	GBR		28394351
KY620606	GBR		28394351
KY620607	GBR		28394351
KY620608	GBR		28394351
KY620609	GBR		28394351
KY620610	GBR		28394351
KY620611	GBR		28394351
KY620612	GBR		28394351
KY620613	GBR		28394351
KY620614	GBR		28394351
KY620615	GBR		28394351
KY620616	GBR		28394351
KY620617	GBR		28394351
KY620618	GBR		28394351
KY620619	GBR		28394351
KY620620	GBR		28394351
KY620621	GBR		28394351
KY620622	GBR		28394351
KY620623	GBR		28394351
KY620624	GBR		28394351
KY620625	GBR		28394351
KY620626	GBR		28394351
KY620627	GBR		28394351
KY620628	GBR		28394351
KY620629	GBR		28394351
KY620630	GBR		28394351
KY620631	GBR		28394351
KY620632	GBR		28394351
KY620633	GBR		28394351
KY620634	GBR		28394351
KY620635	GBR		28394351
KY620636	GBR		28394351
KY620637	GBR		28394351
KY620638	GBR		28394351
KY620639	GBR		28394351
KY620640	GBR		28394351
KY620641	GBR		28394351
KY620642	GBR		28394351
KY620643	GBR		28394351
KY620644	GBR		28394351
KY620645	GBR		28394351
KY620646	GBR		28394351
KY620647	GBR		28394351
KY620648	GBR		28394351
KY620649	GBR		28394351
KY620650	GBR		28394351
KY620651	GBR		28394351
KY620652	GBR		28394351
KY620653	GBR		28394351
KY620654	GBR		28394351
KY620655	GBR		28394351
KY620656	GBR		28394351
KY620657	GBR		28394351
KY620658	GBR		28394351
KY620659	GBR		28394351
KY620660	GBR		28394351
KY620661	GBR		28394351
KY620662	GBR		28394351
KY620663	GBR		28394351
KY620664	GBR		28394351
KY620665	GBR		28394351
KY620666	GBR		28394351
KY620667	GBR		28394351
KY620668	GBR		28394351
KY620669	GBR		28394351
KY620670	GBR		28394351
KY620671	GBR		28394351
KY620672	GBR		28394351
KY620673	GBR		28394351
KY620674	GBR		28394351
KY620675	GBR		28394351
KY620676	GBR		28394351
KY620677	GBR		28394351
KY620678	GBR		28394351
KY620679	GBR		28394351
KY620680	GBR		28394351
KY620681	GBR		28394351
KY620682	GBR		28394351
KY620683	GBR		28394351
KY620684	GBR		28394351
KY620685	GBR		28394351
KY620686	GBR		28394351
KY620687	GBR		28394351
KY620688	GBR		28394351
KY620689	GBR		28394351
KY620690	GBR		28394351
KY620691	GBR		28394351
KY620692	GBR		28394351
KY620693	GBR		28394351
KY620694	GBR		28394351
KY620695	GBR		28394351
KY620696	GBR		28394351
KY620697	GBR		28394351
KY620698	GBR		28394351
KY620699	GBR		28394351
KY620700	GBR		28394351
KY620701	GBR		28394351
KY620702	GBR		28394351
KY620703	GBR		28394351
KY620704	GBR		28394351
KY620705	GBR		28394351
KY620706	GBR		28394351
KY620707	GBR		28394351
KY620708	GBR		28394351
KY620709	GBR		28394351
KY620710	GBR		28394351
KY620711	GBR		28394351
KY620712	GBR		28394351
KY620713	GBR		28394351
KY620714	GBR		28394351
KY620715	GBR		28394351
KY620716	GBR		28394351
KY620717	GBR		28394351
KY620718	GBR		28394351
KY620719	GBR		28394351
KY620720	GBR		28394351
KY620721	GBR		28394351
KY620722	GBR		28394351
KY620723	GBR		28394351
KY620724	GBR		28394351
KY620725	GBR		28394351
KY620726	GBR		28394351
KY620727	GBR		28394351
KY620728	GBR		28394351
KY620729	GBR		28394351
KY620730	GBR		28394351
KY620731	GBR		28394351
KY620732	GBR		28394351
KY620733	GBR		28394351
KY620734	GBR		28394351
KY620735	GBR		28394351
KY620736	GBR		28394351
KY620737	GBR		28394351
KY620738	GBR		28394351
KY620739	GBR		28394351
KY620740	GBR		28394351
KY620741	GBR		28394351
KY620742	GBR		28394351
KY620743	GBR		28394351
KY620744	GBR		28394351
KY620745	GBR		28394351
KY620746	GBR		28394351
KY620747	GBR		28394351
KY620748	GBR		28394351
KY620749	GBR		28394351
KY620750	GBR		28394351
KY620751	GBR		28394351
KY620752	GBR		28394351
KY620753	GBR		28394351
KY620754	GBR		28394351
KY620755	GBR		28394351
KY620756	GBR		28394351
KY620757	GBR		28394351
KY620758	GBR		28394351
KY620759	GBR		28394351
KY620760	GBR		28394351
KY620761	GBR		28394351
KY620762	GBR		28394351
KY620763	GBR		28394351
KY620764	GBR		28394351
KY620765	GBR		28394351
KY620766	GBR		28394351
KY620767	GBR		28394351
KY620768	GBR		28394351
KY620769	GBR		28394351
KY620770	GBR		28394351
KY620771	GBR		28394351
KY620772	GBR		28394351
KY620773	GBR		28394351
KY620774	GBR		28394351
KY620775	GBR		28394351
KY620776	GBR		28394351
KY620777	GBR		28394351
KY620778	GBR		28394351
KY620779	GBR		28394351
KY620780	GBR		28394351
KY620781	GBR		28394351
KY620782	GBR		28394351
KY620783	GBR		28394351
KY620784	GBR		28394351
KY620785	GBR		28394351
KY620786	GBR		28394351
KY620787	GBR		28394351
KY620788	GBR		28394351
KY620789	GBR		28394351
KY620790	GBR		28394351
KY620791	GBR		28394351
KY620792	GBR		28394351
KY620793	GBR		28394351
KY620794	GBR		28394351
KY620795	GBR		28394351
KY620796	GBR		28394351
KY620797	GBR		28394351
KY620798	GBR		28394351
KY620799	GBR		28394351
KY620800	GBR		28394351
KY620801	GBR		28394351
KY620802	GBR		28394351
KY620803	GBR		28394351
KY620804	GBR		28394351
KY620805	GBR		28394351
KY620806	GBR		28394351
KY620807	GBR		28394351
KY620808	GBR		28394351
KY620809	GBR		28394351
KY620810	GBR		28394351
KY620811	GBR		28394351
KY620812	GBR		28394351
KY620813	GBR		28394351
KY620814	GBR		28394351
KY620815	GBR		28394351
KY620816	GBR		28394351
KY620817	GBR		28394351
KY620818	GBR		28394351
KY620819	GBR		28394351
KY620820	GBR		28394351
KY620821	GBR		28394351
KY620822	GBR		28394351
KY620823	GBR		28394351
KY620824	GBR		28394351
KY620825	GBR		28394351
KY620826	GBR		28394351
KY620827	GBR		28394351
KY620828	GBR		28394351
KY620829	GBR		28394351
KY620830	GBR		28394351
KY620831	GBR		28394351
KY620832	GBR		28394351
KY620833	GBR		28394351
KY620834	GBR		28394351
KY620835	GBR		28394351
KY620836	GBR		28394351
KY620837	GBR		28394351
KY620838	GBR		28394351
KY620839	GBR		28394351
KY620840	GBR		28394351
KY620841	GBR		28394351
KY620842	GBR		28394351
KY620843	GBR		28394351
KY620844	GBR		28394351
KY620845	GBR		28394351
KY620846	GBR		28394351
KY620847	GBR		28394351
KY620848	GBR		28394351
KY620849	GBR		28394351
KY620850	GBR		28394351
KY620851	GBR		28394351
KY620852	GBR		28394351
KY620853	GBR		28394351
KY620854	GBR		28394351
KY620855	GBR		28394351
KY620856	GBR		28394351
KY620857	GBR		28394351
KY620858	GBR		28394351
KY620859	GBR		28394351
KY620860	GBR		28394351
KY620861	GBR		28394351
KY620862	GBR		28394351
KY620863	GBR		28394351
KY620864	GBR		28394351
KY620865	GBR		28394351
KY620866	GBR		28394351
KY620867	GBR		28394351
KY620868	GBR		28394351
KY620869	GBR		28394351
KY620870	GBR		28394351
KY620871	GBR		28394351
KY620872	GBR		28394351
KY620873	GBR		28394351
KY620874	GBR		28394351
KY620875	GBR		28394351
KY620876	GBR		28394351
KY620877	GBR		28394351
KY620878	GBR		28394351
KY620879	GBR		28394351
KY620880	GBR		28394351
KR071882	GBR		26311892
KR071883	GBR		26311892
KR071884	GBR		26311892
KR071885	GBR		26311892
KR071886	GBR		26311892
KR071887	GBR		26311892
KR071888	GBR		26311892
KR071889	GBR		26311892
KR071890	GBR		26311892
KR071891	GBR		26311892
KR071892	GBR		26311892
KR071893	GBR		26311892
KR071894	GBR		26311892
KR071895	GBR		26311892
KR071896	GBR		26311892
KR071897	GBR		26311892
KR071898	GBR		26311892
KR071899	GBR		26311892
KR071900	GBR		26311892
KR071901	GBR		26311892
KR071902	GBR		26311892
KR071903	GBR		26311892
KR071904	GBR		26311892
KR071905	GBR		26311892
KR071906	GBR		26311892
KR071907	GBR		26311892
KR071908	GBR		26311892
KR071909	GBR		26311892
KR071910	GBR		26311892
KR071911	GBR		26311892
KR071912	GBR		26311892
KR071913	GBR		26311892
KR071914	GBR		26311892
KR071915	GBR		26311892
KR071916	GBR		26311892
KR071917	GBR		26311892
KR071918	GBR		26311892
KR071919	GBR		26311892
KR071920	GBR		26311892
KR071921	GBR		26311892
KR071922	GBR		26311892
KR071923	GBR		26311892
KR071924	GBR		26311892
KR071925	GBR		26311892
KR071926	GBR		26311892
KR071927	GBR		26311892
KR071928	GBR		26311892
KR071929	GBR		26311892
KR071930	GBR		26311892
KR071931	GBR		26311892
KR071932	GBR		26311892
KR071933	GBR		26311892
KR071934	GBR		26311892
KR071935	GBR		26311892
KR071936	GBR		26311892
KR071937	GBR		26311892
KR071938	GBR		26311892
KR071939	GBR		26311892
KR071940	GBR		26311892
KR071941	GBR		26311892
KR071942	GBR		26311892
KR071943	GBR		26311892
KR071944	GBR		26311892
KR071945	GBR		26311892
KR071946	GBR		26311892
KR071947	GBR		26311892
KR071948	GBR		26311892
KR071949	GBR		26311892
KR071950	GBR		26311892
KR071951	GBR		26311892
KR071952	GBR		26311892
KR071953	GBR		26311892
KR071954	GBR		26311892
KR071955	GBR		26311892
KR071956	GBR		26311892
KR071957	GBR		26311892
KR071958	GBR		26311892
KR071959	GBR		26311892
KR071960	GBR		26311892
KR071961	GBR		26311892
KR071962	GBR		26311892
KR071963	GBR		26311892
KR071964	GBR		26311892
KR071965	GBR		26311892
KR071966	GBR		26311892
KR071967	GBR		26311892
KR071968	GBR		26311892
KR071969	GBR		26311892
KR071970	GBR		26311892
KR071971	GBR		26311892
KR071972	GBR		26311892
KR071973	GBR		26311892
KR071974	GBR		26311892
KR071975	GBR		26311892
KR071976	GBR		26311892
KR071977	GBR		26311892
KR071978	GBR		26311892
KR071979	GBR		26311892
KR071980	GBR		26311892
KR071981	GBR		26311892
KR071982	GBR		26311892
KR071983	GBR		26311892
KR071984	GBR		26311892
KR071985	GBR		26311892
KR071986	GBR		26311892
KR071987	GBR		26311892
KR071988	GBR		26311892
KR071989	GBR		26311892
KR071990	GBR		26311892
KR071991	GBR		26311892
KR071992	GBR		26311892
KR071993	GBR		26311892
KR071994	GBR		26311892
KR071995	GBR		26311892
KR071996	GBR		26311892
KR071997	GBR		26311892
KR071998	GBR		26311892
KR071999	GBR		26311892
KR072000	GBR		26311892
KR072001	GBR		26311892
KR072002	GBR		26311892
KR072003	GBR		26311892
KR072004	GBR		26311892
KR072005	GBR		26311892
KR072006	GBR		26311892
KR072007	GBR		26311892
KR072008	GBR		26311892
KR072009	GBR		26311892
KR072010	GBR		26311892
KR072011	GBR		26311892
KR072012	GBR		26311892
KR072013	GBR		26311892
KR072014	GBR		26311892
KR072015	GBR		26311892
KR072016	GBR		26311892
KR072017	GBR		26311892
KR072018	GBR		26311892
KR072019	GBR		26311892
KR072020	GBR		26311892
KR072021	GBR		26311892
KR072022	GBR		26311892
KR072023	GBR		26311892
KR072024	GBR		26311892
KR072025	GBR		26311892
KR072026	GBR		26311892
KR072027	GBR		26311892
KR072028	GBR		26311892
KR072029	GBR		26311892
KR072030	GBR		26311892
KR072031	GBR		26311892
KR072032	GBR		26311892
KR072033	GBR		26311892
KR072034	GBR		26311892
KR072035	GBR		26311892
KR072036	GBR		26311892
KR072037	GBR		26311892
KR072038	GBR		26311892
KR072039	GBR		26311892
KR072040	GBR		26311892
KR072041	GBR		26311892
KR072042	GBR		26311892
KR072043	GBR		26311892
KR072044	GBR		26311892
KR072045	GBR		26311892
KR072046	GBR		26311892
KR072047	GBR		26311892
KR072048	GBR		26311892
KR072049	GBR		26311892
KR072050	GBR		26311892
KR072051	GBR		26311892
KR072052	GBR		26311892
KR072053	GBR		26311892
KR072054	GBR		26311892
KR072055	GBR		26311892
KR072056	GBR		26311892
KR072057	GBR		26311892
KR072058	GBR		26311892
KR072059	GBR		26311892
KR072060	GBR		26311892
KR072061	GBR		26311892
KR072062	GBR		26311892
KR072063	GBR		26311892
KR072064	GBR		26311892
KR072065	GBR		26311892
KR072066	GBR		26311892
KR072067	GBR		26311892
KR072068	GBR		26311892
KR072069	GBR		26311892
KR072070	GBR		26311892
KR072071	GBR		26311892
KR072072	GBR		26311892
KR072073	GBR		26311892
KR072074	GBR		26311892
KR072075	GBR		26311892
KR072076	GBR		26311892
KR072077	GBR		26311892
KR072078	GBR		26311892
KR072079	GBR		26311892
KR072080	GBR		26311892
KR072081	GBR		26311892
KR072082	GBR		26311892
KR072083	GBR		26311892
KR072084	GBR		26311892
KR072085	GBR		26311892
KR072086	GBR		26311892
KR072087	GBR		26311892
KR072088	GBR		26311892
KR072089	GBR		26311892
KR072090	GBR		26311892
KR072091	GBR		26311892
KR072092	GBR		26311892
KR072093	GBR		26311892
KR072094	GBR		26311892
KR072095	GBR		26311892
KR072096	GBR		26311892
KR072097	GBR		26311892
KR072098	GBR		26311892
KR072099	GBR		26311892
KR072100	GBR		26311892
KR072101	GBR		26311892
KR072102	GBR		26311892
KR072103	GBR		26311892
KR072104	GBR		26311892
KR072105	GBR		26311892
KR072106	GBR		26311892
KR072107	GBR		26311892
KR072108	GBR		26311892
KR072109	GBR		26311892
KR072110	GBR		26311892
KR072111	GBR		26311892
KR072112	GBR		26311892
KR072113	GBR		26311892
KR072114	GBR		26311892
KR072115	GBR		26311892
KR072116	GBR		26311892
KR072117	GBR		26311892
KR072118	GBR		26311892
KR072119	GBR		26311892
KR072120	GBR		26311892
KR072121	GBR		26311892
KR072122	GBR		26311892
KR072123	GBR		26311892
KR072124	GBR		26311892
KR072125	GBR		26311892
KR072126	GBR		26311892
KR072127	GBR		26311892
KR072128	GBR		26311892
KR072129	GBR		26311892
KR072130	GBR		26311892
KR072131	GBR		26311892
KR072132	GBR		26311892
KR072133	GBR		26311892
KR072134	GBR		26311892
KR072135	GBR		26311892
KR072136	GBR		26311892
KR072137	GBR		26311892
KR072138	GBR		26311892
KR072139	GBR		26311892
KR072140	GBR		26311892
KR072141	GBR		26311892
KR072142	GBR		26311892
KR072143	GBR		26311892
KR072144	GBR		26311892
KR072145	GBR		26311892
KR072146	GBR		26311892
KR072147	GBR		26311892
KR072148	GBR		26311892
KR072149	GBR		26311892
KR072150	GBR		26311892
KR072151	GBR		26311892
KR072152	GBR		26311892
KR072153	GBR		26311892
KR072154	GBR		26311892
KR072155	GBR		26311892
KR072156	GBR		26311892
KR072157	GBR		26311892
KR072158	GBR		26311892
KR072159	GBR		26311892
KR072160	GBR		26311892
KR072161	GBR		26311892
KR072162	GBR		26311892
KR072163	GBR		26311892
KR072164	GBR		26311892
KR072165	GBR		26311892
KR072166	GBR		26311892
KR072167	GBR		26311892
KR072168	GBR		26311892
KR072169	GBR		26311892
KR072170	GBR		26311892
KR072171	GBR		26311892
KR072172	GBR		26311892
KR072173	GBR		26311892
KR072174	GBR		26311892
KR072175	GBR		26311892
KR072176	GBR		26311892
KR072177	GBR		26311892
KR072178	GBR		26311892
KR072179	GBR		26311892
KR072180	GBR		26311892
KR072181	GBR		26311892
KR072182	GBR		26311892
KR072183	GBR		26311892
KR072184	GBR		26311892
KR072185	GBR		26311892
KR072186	GBR		26311892
KR072187	GBR		26311892
KR072188	GBR		26311892
KR072189	GBR		26311892
KR072190	GBR		26311892
KR072191	GBR		26311892
KR072192	GBR		26311892
KR072193	GBR		26311892
KR072194	GBR		26311892
KR072195	GBR		26311892
KR072196	GBR		26311892
KR072197	GBR		26311892
KR072198	GBR		26311892
KR072199	GBR		26311892
KR072200	GBR		26311892
KR072201	GBR		26311892
KR072202	GBR		26311892
KR072203	GBR		26311892
AF516368	GBR		26311892
AF516369	GBR		26311892
AF516370	GBR		26311892
